,variable,ocurrencias,wr_long_30m,wr_short_30m,pnl_mean_30m,wr_long_60m,wr_short_60m,pnl_mean_60m,wr_long_120m,wr_short_120m,pnl_mean_120m,best_wr,has_edge
217,5M_cross_bull_sma200,4520,0.502,0.492,-0.0046,0.4909,0.5062,-0.0337,0.5002,0.4958,-0.0247,0.5062,False
226,5M_fib0382_conf_ema21,33335,0.4826,0.5062,0.0076,0.4887,0.5034,0.0206,0.4933,0.5029,0.0345,0.5062,False
209,5M_stoch_A_bull,12621,0.506,0.4845,-0.0097,0.5061,0.4864,-0.021,0.5061,0.4897,-0.0062,0.5061,False
115,1H_stoch_os,43607,0.4861,0.5055,-0.0235,0.4895,0.5053,-0.0352,0.5034,0.4935,-0.0605,0.5055,False
12,1M_reject_bull_ema21,41647,0.4869,0.5035,-0.0004,0.4903,0.5036,0.0009,0.5048,0.4913,0.0157,0.5048,False
222,5M_extreme_bear_sma200,30296,0.493,0.5021,0.001,0.4919,0.5047,0.0151,0.4996,0.4985,0.0394,0.5047,False
225,5M_fib0382_reject_bear,29736,0.5009,0.4903,0.0024,0.5045,0.4899,0.0132,0.4991,0.4972,-0.0014,0.5045,False
184,15M_reject_bull_ema21,42102,0.5033,0.4879,0.0135,0.5044,0.4902,0.0165,0.4992,0.4976,0.0193,0.5044,False
21,1M_fib0382_reject_bull,58291,0.4975,0.4891,0.0011,0.5043,0.487,-0.0048,0.5004,0.4945,-0.0098,0.5043,False
25,1M_fib05_reject_bull,58844,0.4958,0.4919,0.0102,0.5043,0.4887,0.0126,0.5011,0.4945,0.0104,0.5043,False
108,4H_fib0618_reject_bull,30803,0.4853,0.503,0.0115,0.4888,0.5031,0.0205,0.5043,0.492,0.0642,0.5043,False
219,5M_reject_bull_sma200,10179,0.4996,0.4932,-0.012,0.5042,0.4914,-0.0385,0.4986,0.4983,-0.0353,0.5042,False
179,15M_stoch_A_bear,15025,0.5041,0.4863,0.004,0.4947,0.4982,-0.0084,0.5028,0.4948,0.0054,0.5041,False
220,5M_reject_bear_sma200,9169,0.5013,0.492,-0.0063,0.5016,0.4932,-0.0019,0.493,0.5041,-0.0197,0.5041,False
130,1H_fib0382_in_zone,23274,0.4983,0.4922,0.0235,0.4997,0.4928,0.0498,0.504,0.4916,0.0726,0.504,False
44,1W_reject_bear_ema21,37389,0.4951,0.4975,-0.0158,0.4946,0.5004,-0.0332,0.4929,0.5035,-0.0708,0.5035,False
224,5M_fib0382_reject_bull,31835,0.4867,0.5035,0.0083,0.4933,0.4992,0.0137,0.5027,0.494,0.0558,0.5035,False
27,1M_fib05_conf_sma200,82869,0.4961,0.4894,0.0034,0.5032,0.487,-0.0001,0.5026,0.4912,-0.0085,0.5032,False
185,15M_reject_bear_ema21,39097,0.4963,0.4955,-0.0095,0.4931,0.5018,-0.0238,0.493,0.5031,-0.0245,0.5031,False
92,4H_reject_bull_ema21,35960,0.5023,0.4868,0.0124,0.5027,0.4882,0.0284,0.5004,0.495,0.0745,0.5027,False
178,15M_stoch_A_bull,11431,0.4967,0.4952,0.0105,0.5024,0.4929,0.0201,0.4952,0.5003,0.0061,0.5024,False
206,5M_macd_e2_bear,10853,0.4923,0.5003,-0.0206,0.4986,0.4945,-0.0147,0.5018,0.4942,-0.0385,0.5018,False
81,4H_macd_e1_bear,35763,0.4918,0.4986,0.0165,0.4981,0.4947,0.0199,0.5013,0.4942,0.0239,0.5013,False
102,4H_fib0382_reject_bear,16649,0.4987,0.4884,0.0206,0.4971,0.497,0.0435,0.4958,0.5001,0.074,0.5001,False
131,1H_fib0382_reject_bull,34597,0.4999,0.4935,-0.0068,0.4991,0.4949,-0.0111,0.4983,0.4984,-0.0056,0.4999,False
223,5M_fib0382_in_zone,45025,0.4915,0.4982,0.0076,0.4989,0.4938,0.0219,0.499,0.4971,0.029,0.499,False
